Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2023-973093,2021-09-08,2021-09-11,Standard Class,CG-87513,Customer_0,Home Office,United States,Chicago,Arizona,64929,West,FUR-3454,Technology,Storage,Product_0,125.80769419140029,3,0.01883311019701264,24.293552295530336
2,US-2024-435098,2023-05-28,2023-06-01,Second Class,CG-33466,Customer_1,Consumer,United States,Chicago,Texas,68856,East,FUR-5957,Office Supplies,Chairs,Product_1,246.52048028941786,8,0.38367600223928017,34.594833979174275
3,US-2021-909178,2022-06-14,2022-06-17,Second Class,CG-60406,Customer_2,Corporate,United States,Chicago,Texas,75460,Central,FUR-3287,Furniture,Binders,Product_2,768.6208194739206,3,0.7997378452487081,-100.37932369683074
4,US-2023-692278,2021-11-23,2021-11-30,Second Class,CG-13688,Customer_3,Corporate,United States,Chicago,Arizona,23754,West,FUR-9150,Office Supplies,Chairs,Product_3,1264.1245636625868,4,0.6954373899995242,-161.9849458477674
5,US-2023-683098,2023-08-19,2023-08-25,Same Day,CG-79284,Customer_4,Corporate,United States,Houston,Arizona,38853,South,FUR-7292,Furniture,Art,Product_4,497.4167749726633,7,0.7464860967055984,11.352596773384818
6,US-2024-742650,2023-06-14,2023-06-20,Same Day,CG-23665,Customer_5,Corporate,United States,Houston,Illinois,69560,East,FUR-9696,Technology,Chairs,Product_5,650.5065681967192,7,0.4988332039943356,-4.534586590715492
7,US-2021-576513,2021-04-07,2021-04-14,Standard Class,CG-30641,Customer_6,Corporate,United States,Los Angeles,New York,77816,Central,FUR-4733,Furniture,Tables,Product_6,318.89627858254005,4,0.6872997826012011,-23.5421687379105
8,US-2021-246295,2022-05-28,2022-05-31,Same Day,CG-42500,Customer_7,Consumer,United States,Los Angeles,Arizona,83332,West,FUR-9892,Office Supplies,Phones,Product_7,194.32363463326539,9,0.25575869951775404,22.06155604040748
9,US-2023-565453,2021-08-04,2021-08-10,Same Day,CG-45797,Customer_8,Home Office,United States,New York,Illinois,14567,Central,FUR-6113,Office Supplies,Storage,Product_8,343.74483412187897,6,0.021891202760825124,110.4976837541597
10,US-2022-757957,2024-03-01,2024-03-05,First Class,CG-94766,Customer_9,Consumer,United States,Los Angeles,Texas,84836,West,FUR-4005,Office Supplies,Phones,Product_9,1117.6014257038091,8,0.7346005025781016,-12.06672971343653
11,US-2023-821037,2024-07-07,2024-07-13,Same Day,CG-55950,Customer_10,Corporate,United States,New York,Texas,72118,West,FUR-5790,Furniture,Chairs,Product_10,45.55457737929235,7,0.174744499719146,12.971935458319418
12,US-2023-364803,2021-05-05,2021-05-12,First Class,CG-35046,Customer_11,Corporate,United States,New York,California,68886,East,FUR-1010,Office Supplies,Binders,Product_11,128.22366436140547,4,0.5827890839529839,-3.743476851924548
13,US-2023-186516,2024-01-11,2024-01-17,Second Class,CG-19638,Customer_12,Home Office,United States,New York,Arizona,67724,South,FUR-6221,Furniture,Binders,Product_12,175.9223751248675,2,0.5271738519017231,7.269772663441152
14,US-2023-174567,2024-07-30,2024-08-06,First Class,CG-96363,Customer_13,Consumer,United States,Chicago,Illinois,42150,West,FUR-4677,Technology,Tables,Product_13,146.07497297472133,2,0.12653083873572576,39.35056809577847
15,US-2024-901469,2021-02-28,2021-03-03,First Class,CG-31173,Customer_14,Home Office,United States,Phoenix,Illinois,76791,Central,FUR-8334,Furniture,Phones,Product_14,500.19148179192536,8,0.15662319722491722,123.84370767983816
16,US-2021-226498,2021-06-10,2021-06-16,Second Class,CG-23222,Customer_15,Home Office,United States,Phoenix,New York,16462,West,FUR-6164,Technology,Storage,Product_15,95.7657286762111,8,0.2632579851438367,20.261772536396904
17,US-2024-802098,2021-10-11,2021-10-18,Second Class,CG-60064,Customer_16,Consumer,United States,Houston,Illinois,93578,South,FUR-7860,Furniture,Art,Product_16,1747.119085332364,1,0.6055445223588677,89.40567359048282
18,US-2024-564894,2021-04-16,2021-04-20,Standard Class,CG-47010,Customer_17,Home Office,United States,New York,Arizona,37560,Central,FUR-9105,Technology,Phones,Product_17,2853.461408606035,1,0.031395395757253385,581.526798603945
19,US-2024-636397,2024-02-03,2024-02-07,Standard Class,CG-28095,Customer_18,Consumer,United States,Chicago,Illinois,94568,West,FUR-1284,Office Supplies,Binders,Product_18,413.9116655181063,4,0.32565499223085426,29.31931230537907
20,US-2023-384154,2021-08-16,2021-08-21,Standard Class,CG-11439,Customer_19,Consumer,United States,Los Angeles,California,87686,West,FUR-7543,Furniture,Art,Product_19,260.71228386589576,1,0.5320905650308531,21.07048713875878
21,US-2022-895219,2021-11-14,2021-11-20,Standard Class,CG-95550,Customer_20,Corporate,United States,Los Angeles,Texas,13371,East,FUR-6570,Technology,Binders,Product_20,1528.8850916087426,1,0.1371767567509065,346.6696926317861
22,US-2021-863760,2023-03-13,2023-03-16,First Class,CG-15375,Customer_21,Home Office,United States,Houston,Texas,95349,South,FUR-6731,Office Supplies,Chairs,Product_21,273.62415479170227,5,0.09553381806211086,65.02400287765158
23,US-2022-239544,2023-05-24,2023-05-29,First Class,CG-99023,Customer_22,Corporate,United States,Houston,Illinois,64012,West,FUR-8611,Office Supplies,Chairs,Product_22,171.64619180539364,1,0.31216979284977064,23.17277290439611
24,US-2024-346183,2022-04-17,2022-04-23,Standard Class,CG-30600,Customer_23,Home Office,United States,New York,Illinois,83156,South,FUR-3435,Technology,Storage,Product_23,425.25257698123767,6,0.22924737428936162,67.94750123802939
25,US-2024-778743,2023-12-16,2023-12-20,Same Day,CG-12466,Customer_24,Home Office,United States,New York,Illinois,12932,West,FUR-8523,Technology,Art,Product_24,133.3766723103106,4,0.5192765313880792,7.812570167127937
26,US-2022-423853,2022-09-17,2022-09-20,Standard Class,CG-55097,Customer_25,Corporate,United States,Los Angeles,Illinois,31470,Central,FUR-2029,Furniture,Art,Product_25,211.73539083582688,5,0.7756548292170238,-26.077819013547796
27,US-2022-563001,2021-01-13,2021-01-17,Same Day,CG-63276,Customer_26,Corporate,United States,Los Angeles,California,19778,South,FUR-7584,Technology,Storage,Product_26,131.3113914769915,9,0.003575148743320078,42.75177269040075
28,US-2022-868613,2023-11-08,2023-11-14,Second Class,CG-60117,Customer_27,Corporate,United States,Los Angeles,Arizona,33033,Central,FUR-9091,Technology,Binders,Product_27,550.5258913713822,2,0.7219039299684473,-66.29682826173183
29,US-2024-134518,2022-11-25,2022-11-28,First Class,CG-56971,Customer_28,Consumer,United States,Los Angeles,California,20304,South,FUR-5451,Office Supplies,Phones,Product_28,123.45230850889376,3,0.34657842911239406,22.00519722861542
30,US-2024-153909,2023-08-31,2023-09-03,First Class,CG-16928,Customer_29,Home Office,United States,Phoenix,California,83655,Central,FUR-3966,Technology,Storage,Product_29,191.6560073990971,3,0.5312061834141238,17.38643947241505
31,US-2021-904783,2021-04-23,2021-04-28,Same Day,CG-98016,Customer_30,Consumer,United States,New York,California,24407,West,FUR-8755,Technology,Chairs,Product_30,241.41672705989035,9,0.6808216262758457,-5.96459855378113
32,US-2021-824984,2021-08-17,2021-08-20,Standard Class,CG-65309,Customer_31,Home Office,United States,New York,Texas,80519,Central,FUR-1553,Technology,Art,Product_31,777.7341250982497,3,0.45876692889769943,34.59456902047282
33,US-2024-615693,2021-06-20,2021-06-26,First Class,CG-84647,Customer_32,Home Office,United States,Los Angeles,California,12521,Central,FUR-1267,Office Supplies,Tables,Product_32,444.91250345245635,5,0.07784946175307034,72.94544431798863
34,US-2022-639570,2021-10-22,2021-10-29,Same Day,CG-50888,Customer_33,Consumer,United States,Chicago,Illinois,94622,West,FUR-8135,Office Supplies,Binders,Product_33,2689.8019141938175,6,0.11247614056656047,452.07076914747995
35,US-2022-578082,2021-07-08,2021-07-15,Second Class,CG-53832,Customer_34,Consumer,United States,Los Angeles,California,10783,South,FUR-2240,Office Supplies,Tables,Product_34,179.57422702419456,6,0.631424033855617,-17.916949252143304
36,US-2021-339017,2022-03-02,2022-03-05,Second Class,CG-19404,Customer_35,Home Office,United States,Houston,Illinois,52666,Central,FUR-5159,Office Supplies,Chairs,Product_35,878.2051404096521,6,0.18327858515538634,96.95535138544497
