ds,yhat,yhat_lower,yhat_upper
2021-01-01,2687.256136234603,-112.48942346669543,5254.637625664346
2021-01-02,2459.049463293694,-242.70072412886424,5415.479641701093
2021-01-03,2093.7702048115143,-543.5970572404951,4908.177363887102
2021-01-04,2099.848012800169,-692.6795772424729,4856.982642392718
2021-01-05,1959.2877839162666,-634.2316853087435,4691.886265132318
2021-01-06,1916.1891963645492,-679.0542485593572,4594.252010723035
2021-01-07,1685.914873161147,-984.6331774031066,4201.577476674417
2021-01-09,1721.1475542024539,-1188.797543226315,4469.439005052724
2021-01-10,1406.391176250716,-1308.6365151981618,4074.3709976598107
2021-01-11,1468.515414745952,-1158.2616435365035,4202.843033419811
2021-01-12,1388.7730878389802,-1268.3988117137942,4137.450496516159
2021-01-13,1410.1511134426275,-1307.1270239985013,4252.944722844861
2021-01-14,1247.0277338574465,-1514.9244132088033,4080.675439547169
2021-01-16,1419.6533834375389,-1291.69694479533,4132.105657523189
2021-01-17,1173.0471793948266,-1636.8651351136382,3683.8175850800862
2021-01-18,1301.2307123821633,-1435.7132502075399,3978.697221846611
2021-01-19,1284.5695343362997,-1355.0955095194936,4001.345473073844
2021-01-20,1364.9574473326281,-1202.782202878622,3948.9660587420626
2021-01-21,1255.965292148269,-1433.3382042041217,3956.979557408919
2021-01-22,1592.1154630973272,-1209.9951021626885,4089.224659426763
2021-01-23,1518.7699195196699,-1057.80936081183,4220.771593514494
2021-01-24,1307.2321646551388,-1403.8591842686778,4164.43400894226
2021-01-25,1463.044971989421,-1459.500576984524,4079.1446647070525
2021-01-26,1466.5613103529486,-1244.888849273324,4044.380562170797
2021-01-27,1559.55390370785,-1105.625760609798,4197.103412513523
2021-01-28,1455.8344876527874,-1296.6388976806977,4187.8156660840095
2021-01-29,1789.996533213849,-981.8545551438997,4200.4716047217535
2021-01-30,1708.1741579355162,-1174.2958523427096,4527.265799397361
2021-01-31,1482.1795527423064,-1436.0855485535305,4219.5030835550715
2021-02-01,1618.1106774144619,-1158.1400148562786,4523.550330347264
2021-02-02,1597.3630306292387,-1092.0848728871988,4250.586430098801
2021-02-04,1528.6523644631557,-1414.9558495625367,4279.90125398631
2021-02-05,1831.0399535258873,-779.7428321738766,4620.489396261566
2021-02-06,1717.2499217004136,-976.8661414012358,4414.719495725688
2021-02-07,1460.0601633511574,-1258.7246874656746,4243.779756392709
2021-02-08,1566.4117667605246,-1298.9077385519593,4294.466918393516
2021-02-09,1518.8537949822173,-1045.9707590326989,4192.624052624047
2021-02-10,1560.8044772873623,-1133.1109667973428,4026.1838986657995
2021-02-11,1408.0645682931986,-1176.2258087324967,3874.910737478413
2021-02-12,1696.4585809755208,-1156.8170688926832,4232.234074151097
2021-02-13,1574.307615702326,-1184.0951428801382,4392.023062655552
2021-02-14,1314.620689535179,-1245.2376621471485,4172.761700043988
2021-02-15,1424.3168543248603,-1258.785185734021,4005.0292710332537
2021-02-16,1386.124917668005,-1265.7180609644638,4156.429471698033
2021-02-18,1311.0800438776566,-1561.026099092467,3912.257446827983
2021-02-19,1624.8716103101967,-1157.7848294147987,4326.778200396334
2021-02-20,1532.5511712582072,-1010.7249089872228,4312.910733497902
2021-02-21,1306.25243552672,-1727.5999803629938,3912.3680018463383
2021-02-22,1451.827972174888,-1160.3117581116283,4202.553859118202
2021-02-24,1546.5049182697906,-932.9373567897129,4190.247731828811
2021-02-25,1452.2604974814692,-1188.7923894086584,4097.572515855964
2021-02-26,1802.3076167551758,-993.8018914397745,4389.586898569774
2021-02-27,1743.9229135980622,-1025.9544836023965,4507.400563667398
2021-02-28,1548.1813629292494,-1166.5635101218638,4369.9103946147225
2021-03-01,1719.8761141524753,-1079.630525649154,4380.92899881421
2021-03-02,1740.3850976676106,-901.6200932404403,4333.237345352418
2021-03-03,1851.0268098772044,-879.49564213521,4567.782264629923
2021-03-04,1766.0350875559373,-1063.0859173237984,4397.916489969231
2021-03-05,2118.6684045116467,-506.6192567155745,4781.5827047721805
2021-03-06,2056.37077273724,-617.2292588222643,4631.577955919269
2021-03-07,1850.154964839525,-732.969423307482,4649.879188971902
2021-03-08,2004.8481781577532,-695.315245400888,4666.604262440535
2021-03-09,2002.4137376166736,-624.8963731769187,4745.992165551954
2021-03-10,2084.6467291256545,-549.08739373701,4774.238781546819
2021-03-11,1966.6053459873212,-804.08891129725,4775.135609962754
2021-03-12,2282.1742055460686,-484.50491940437144,4899.992647203051
2021-03-13,2180.082079686896,-498.4243556743291,4842.595092596083
