Order Date,Category,Sub-Category,Region,Segment,Sales,Quantity,Discount,Profit
2014-01-01,Technology,Accessories,Central,Home Office,1306.1043498239114,8,0.0,186.59012668239546
2014-01-01,Office Supplies,Envelopes,East,Consumer,1145.1642793838876,5,0.3,400.5015010025794
2014-01-01,Technology,Accessories,Central,Home Office,2088.2756962018734,5,0.1,592.0176984860096
2014-01-01,Office Supplies,Appliances,Central,Consumer,76.48038975384104,9,0.0,21.68646333349914
2014-01-02,Furniture,Chairs,Central,Home Office,1838.719741833505,3,0.0,726.2377863373664
2014-01-02,Furniture,Tables,East,Corporate,3390.6062274622736,5,0.1,512.5146694582307
2014-01-03,Technology,Machines,Central,Consumer,2437.4279393207444,3,0.2,432.9700611187113
2014-01-03,Technology,Phones,South,Corporate,2683.8369089805296,2,0.0,435.8081438141824
2014-01-03,Furniture,Chairs,South,Consumer,1521.1267802115797,2,0.15,580.8417780192747
2014-01-04,Furniture,Tables,Central,Corporate,2358.5688465368607,9,0.3,833.4242522551352
2014-01-04,Office Supplies,Fasteners,Central,Home Office,1874.6172725900178,5,0.0,730.3070086959633
2014-01-04,Office Supplies,Supplies,Central,Corporate,2749.3375734441806,9,0.0,411.2461389086248
2014-01-04,Furniture,Furnishings,South,Home Office,932.465916198187,9,0.15,148.83527163323146
2014-01-05,Furniture,Bookcases,Central,Home Office,1468.413426677017,7,0.2,344.8351640277741
2014-01-05,Furniture,Furnishings,Central,Consumer,1635.0191416060306,7,0.0,323.0062009740339
2014-01-05,Furniture,Tables,South,Corporate,8971.589197386318,8,0.0,2407.7325566704294
2014-01-06,Technology,Machines,East,Corporate,386.53649879982333,3,0.0,112.45240553087956
2014-01-06,Office Supplies,Envelopes,South,Home Office,513.9398740249015,4,0.2,89.83035245573807
2014-01-06,Technology,Accessories,East,Home Office,2720.7894397423297,4,0.2,760.894995088745
2014-01-06,Technology,Copiers,East,Corporate,2528.695114969363,2,0.1,477.13974865640085
2014-01-06,Office Supplies,Fasteners,East,Home Office,183.10290757114865,4,0.2,47.93683055832412
2014-01-06,Office Supplies,Appliances,East,Consumer,3642.1458912558987,9,0.0,484.4621385485746
2014-01-07,Office Supplies,Paper,South,Consumer,2320.3792329830553,9,0.0,714.0521805646322
2014-01-07,Furniture,Furnishings,East,Home Office,3053.9345108347525,8,0.2,601.5056275138243
2014-01-07,Office Supplies,Paper,West,Consumer,2356.212219866696,9,0.0,281.49119367050713
2014-01-08,Office Supplies,Binders,East,Home Office,1787.869710062994,5,0.0,198.57168776785664
2014-01-08,Technology,Machines,West,Home Office,2477.300902521598,2,0.0,272.2930733852184
2014-01-08,Office Supplies,Labels,East,Consumer,175.81026777320807,1,0.0,25.223228655717605
2014-01-09,Technology,Phones,Central,Consumer,11760.175038345009,8,0.0,4645.585985939215
2014-01-09,Furniture,Chairs,East,Home Office,658.3542194223743,1,0.0,166.20786463399983
2014-01-09,Office Supplies,Art,West,Corporate,1048.2820180844597,3,0.0,317.91176279268706
2014-01-09,Technology,Phones,South,Home Office,209.98297934376473,3,0.15,42.96247477658224
2014-01-10,Furniture,Bookcases,South,Home Office,6598.815125907778,8,0.0,1335.0716514653632
2014-01-10,Office Supplies,Art,South,Corporate,428.1857510986411,7,0.0,132.1960648007514
2014-01-10,Furniture,Tables,Central,Home Office,3779.730274645976,9,0.0,673.7322060498252
2014-01-11,Technology,Machines,East,Home Office,5443.165527567029,4,0.2,1817.8140588581248
2014-01-11,Furniture,Furnishings,East,Consumer,998.8443046160029,1,0.0,369.1391505413385
2014-01-11,Office Supplies,Binders,Central,Home Office,915.547153594491,3,0.0,349.77566453181186
2014-01-12,Office Supplies,Storage,Central,Consumer,2042.729557003732,9,0.0,215.3498795536775
2014-01-12,Office Supplies,Fasteners,East,Consumer,997.9095560632005,4,0.0,322.5754184959282
2014-01-12,Furniture,Bookcases,Central,Home Office,1109.315893952981,1,0.0,280.2622521465731
2014-01-12,Office Supplies,Art,East,Consumer,1919.9078760121092,6,0.0,752.4179758548506
2014-01-13,Technology,Phones,East,Corporate,4376.344874279806,3,0.0,1446.6717137629562
2014-01-13,Technology,Phones,East,Home Office,540.1094196845833,5,0.2,175.16592788555846
2014-01-13,Technology,Copiers,South,Corporate,1908.4901016967087,1,0.0,518.5133639761051
2014-01-13,Technology,Machines,West,Home Office,7846.586352985156,4,0.0,1691.1694098425503
2014-01-13,Office Supplies,Art,East,Consumer,1278.9379572025325,3,0.0,341.52807647313534
2014-01-13,Furniture,Furnishings,Central,Home Office,4231.8500514752795,3,0.0,546.5559101973322
2014-01-14,Technology,Copiers,East,Consumer,1496.745866720586,1,0.15,211.02081061457457
2014-01-14,Furniture,Bookcases,East,Consumer,7647.3277697191625,7,0.0,2621.567788978764
2014-01-14,Furniture,Furnishings,Central,Home Office,9996.685895661909,9,0.1,1244.3700072787437
2014-01-14,Furniture,Furnishings,West,Consumer,364.679946804177,4,0.15,107.57663819061847
2014-01-15,Technology,Copiers,West,Consumer,7065.877649655236,6,0.0,1035.239293286418
2014-01-15,Office Supplies,Paper,East,Consumer,2946.067438282277,6,0.0,321.5634817896991
2014-01-15,Furniture,Tables,South,Corporate,913.7247854934012,6,0.0,238.59613622410194
2014-01-15,Office Supplies,Storage,Central,Home Office,1133.5080798854735,8,0.15,186.74127153160435
2014-01-16,Technology,Accessories,Central,Corporate,2932.582135206299,3,0.1,932.0549556615877
2014-01-16,Technology,Machines,Central,Consumer,4979.924465127453,3,0.15,902.6096927144101
2014-01-16,Furniture,Chairs,West,Consumer,5001.919922915234,7,0.0,776.7986757221979
2014-01-17,Office Supplies,Binders,South,Corporate,916.0615903502156,2,0.0,117.40427365600414
2014-01-17,Furniture,Bookcases,West,Home Office,1602.0557817760362,5,0.1,408.5384461672848
2014-01-18,Furniture,Bookcases,Central,Consumer,2275.7528414638523,3,0.15,237.4020909407086
2014-01-18,Furniture,Chairs,West,Corporate,1312.5084835484136,5,0.0,253.8706314946295
2014-01-18,Office Supplies,Envelopes,West,Consumer,2449.288558338234,5,0.0,316.81608292296016
2014-01-18,Furniture,Tables,Central,Corporate,5517.835576144957,7,0.0,1320.98166651683
2014-01-19,Office Supplies,Storage,South,Corporate,467.0509724993441,1,0.0,142.53888034545008
2014-01-19,Technology,Phones,East,Consumer,7005.094715137859,7,0.2,2522.952671439589
2014-01-19,Office Supplies,Envelopes,Central,Home Office,1280.0791229431022,4,0.0,277.07437790171025
2014-01-19,Technology,Accessories,South,Consumer,1108.7502220682002,1,0.15,383.8402824975326
2014-01-20,Furniture,Tables,East,Consumer,800.8495351834475,2,0.0,228.6234542875535
2014-01-20,Technology,Accessories,East,Consumer,5650.245752264133,8,0.0,1720.4099965660164
2014-01-20,Technology,Accessories,East,Corporate,2142.653731365804,3,0.0,290.2212657825021
2014-01-20,Furniture,Chairs,Central,Home Office,7743.110626870639,8,0.1,2640.743581852313
2014-01-20,Furniture,Tables,South,Corporate,2103.1057067992733,5,0.15,719.3681940589935
2014-01-21,Furniture,Furnishings,East,Corporate,10360.975454172867,9,0.0,2210.1894608186813
2014-01-21,Office Supplies,Binders,South,Corporate,916.2731379519383,4,0.15,179.60316946616922
2014-01-21,Office Supplies,Art,Central,Corporate,448.2839981056192,1,0.0,173.73804418244546
2014-01-21,Technology,Accessories,Central,Home Office,15317.3621788776,9,0.0,5897.469190395977
2014-01-21,Furniture,Furnishings,East,Corporate,4292.550017137736,3,0.0,536.505751924829
2014-01-21,Furniture,Chairs,South,Corporate,2055.4722554568616,9,0.0,336.72411140089895
2014-01-22,Furniture,Tables,South,Home Office,1584.5896913103772,2,0.3,485.5325475617
2014-01-22,Technology,Accessories,South,Home Office,1682.079554762879,1,0.0,210.6502571710207
2014-01-22,Furniture,Chairs,South,Consumer,8272.379397927176,9,0.15,2579.9290347553992
2014-01-22,Furniture,Chairs,South,Corporate,1069.4414644932983,5,0.0,293.4457814643992
2014-01-22,Technology,Copiers,South,Consumer,8838.912601180642,6,0.15,3395.6854762446524
2014-01-22,Technology,Machines,West,Corporate,7890.808297818393,4,0.0,2465.5174461218985
2014-01-22,Furniture,Bookcases,West,Corporate,4181.402429008712,6,0.1,730.1449779472545
2014-01-23,Furniture,Bookcases,South,Consumer,9509.989634251202,9,0.1,2894.0023310875154
2014-01-23,Technology,Machines,East,Home Office,4618.238571182847,9,0.0,857.6698302542882
2014-01-23,Office Supplies,Supplies,West,Home Office,2609.739410722697,6,0.0,888.9627767393458
2014-01-23,Furniture,Bookcases,Central,Home Office,7345.304681279896,5,0.0,2772.066562729674
2014-01-24,Furniture,Bookcases,South,Home Office,299.4314442056587,1,0.1,70.77431066282354
2014-01-24,Technology,Copiers,West,Consumer,7642.429536983543,6,0.0,2454.2150155181866
2014-01-24,Furniture,Furnishings,South,Consumer,11050.84862669399,8,0.0,1459.0084000610457
2014-01-24,Office Supplies,Envelopes,East,Home Office,684.6069282979871,4,0.0,141.0329078606485
2014-01-25,Furniture,Furnishings,West,Home Office,6601.430679798621,6,0.2,2097.37917626085
2014-01-25,Technology,Copiers,East,Consumer,2492.3192641495802,2,0.0,904.708019268213
2014-01-25,Furniture,Tables,Central,Consumer,4361.11510780849,5,0.0,928.6515338293428
2014-01-25,Technology,Machines,West,Home Office,1630.5789950245742,1,0.0,529.7318888226212
2014-01-25,Technology,Copiers,South,Consumer,693.880011682459,1,0.15,166.9530457264527
2014-01-25,Technology,Accessories,West,Consumer,858.8980295584471,1,0.0,105.3075274896765
2014-01-25,Office Supplies,Envelopes,East,Corporate,1215.8951930951398,5,0.3,485.13130114742575
2014-01-25,Office Supplies,Fasteners,East,Consumer,1259.7241242298528,5,0.1,412.0864486871304
2014-01-26,Furniture,Chairs,West,Corporate,1808.0776612660713,4,0.0,545.1538668860154
2014-01-26,Office Supplies,Art,South,Corporate,2487.7878322132674,8,0.0,620.577570152298
2014-01-26,Technology,Phones,South,Consumer,2935.832576215733,3,0.0,1044.1419204666438
2014-01-27,Furniture,Furnishings,East,Home Office,631.3308607740356,5,0.1,196.48527189170346
2014-01-27,Office Supplies,Appliances,Central,Home Office,596.2532037133185,6,0.1,235.00653265867817
2014-01-27,Office Supplies,Labels,South,Corporate,612.0069710464663,2,0.0,141.5220076856061
2014-01-28,Technology,Accessories,West,Home Office,7359.339236238651,5,0.15,1750.0806196516394
2014-01-28,Furniture,Furnishings,Central,Home Office,1278.9279810261935,1,0.0,304.0532678254396
2014-01-28,Office Supplies,Appliances,East,Corporate,2450.580623831556,5,0.0,398.8056217222273
2014-01-28,Office Supplies,Art,South,Home Office,875.7801526905316,3,0.0,208.4669834621947
2014-01-28,Office Supplies,Art,South,Home Office,1590.079801202088,6,0.1,244.90437990626125
2014-01-28,Office Supplies,Paper,South,Corporate,2518.3312256333097,9,0.2,609.910842091243
2014-01-29,Technology,Machines,East,Consumer,2276.540237944325,6,0.0,310.04374820442735
2014-01-29,Office Supplies,Paper,East,Home Office,466.1709803523985,2,0.0,92.78194215533328
2014-01-30,Technology,Machines,West,Home Office,5929.40111045863,6,0.0,2146.8795302013573
2014-01-30,Furniture,Furnishings,South,Consumer,1389.2213607445385,1,0.0,474.91974775888536
2014-01-31,Office Supplies,Labels,West,Corporate,2177.2527833524755,7,0.0,688.3489583696667
2014-01-31,Office Supplies,Envelopes,West,Home Office,286.87179554451615,8,0.0,87.82570026584418
2014-01-31,Furniture,Bookcases,South,Home Office,2564.4338833741604,2,0.0,666.2019178276315
2014-02-01,Technology,Machines,Central,Consumer,681.9120928492331,9,0.15,86.44006242989808
2014-02-01,Technology,Machines,East,Consumer,7876.11131877795,9,0.2,2190.1712045312606
2014-02-01,Furniture,Bookcases,Central,Consumer,2837.0067663661703,3,0.1,691.8739769480921
2014-02-02,Office Supplies,Art,West,Corporate,900.6509231735622,2,0.0,224.68926702838127
2014-02-02,Technology,Copiers,West,Corporate,6247.61584648004,9,0.0,815.5309212991506
2014-02-02,Office Supplies,Envelopes,East,Home Office,564.6569172737105,7,0.0,200.59169076251965
2014-02-02,Technology,Accessories,Central,Corporate,1416.8375542609956,8,0.2,175.78721061783153
2014-02-02,Furniture,Chairs,West,Consumer,6007.074806868168,8,0.1,2397.8840603619365
2014-02-03,Technology,Copiers,Central,Corporate,14049.942967749801,8,0.1,4864.911361443287
2014-02-03,Furniture,Tables,South,Corporate,8846.721433369401,8,0.0,3110.2840320542196
2014-02-03,Technology,Phones,West,Consumer,2429.4667083738045,6,0.1,388.3553022549003
2014-02-03,Technology,Phones,West,Corporate,1337.1138073908467,1,0.1,249.49095013080617
2014-02-04,Furniture,Furnishings,West,Home Office,2856.2299473574444,5,0.0,1133.8892134692737
2014-02-04,Furniture,Furnishings,West,Consumer,1102.5907659292243,2,0.0,156.17915057673892
2014-02-04,Technology,Machines,East,Corporate,497.57628472148576,9,0.0,120.1511668307206
2014-02-05,Office Supplies,Labels,Central,Consumer,3301.014602032235,9,0.0,705.6531891452817
2014-02-05,Furniture,Chairs,West,Home Office,8382.175158153574,6,0.0,2803.45489821755
2014-02-05,Furniture,Chairs,Central,Corporate,6295.5862102424435,5,0.0,938.6516501631108
2014-02-05,Office Supplies,Labels,West,Corporate,431.55784987920754,5,0.0,125.20682991840509
2014-02-05,Furniture,Chairs,West,Corporate,9871.290595062163,9,0.2,2149.310968899983
2014-02-05,Technology,Accessories,West,Corporate,10346.924113908324,7,0.1,3827.3296466483985
2014-02-06,Furniture,Furnishings,South,Corporate,3378.401886253774,5,0.2,970.5182354855095
2014-02-06,Office Supplies,Supplies,East,Corporate,377.1871809038413,6,0.0,120.38484891783467
2014-02-06,Furniture,Furnishings,West,Corporate,3642.095811239891,4,0.15,1041.7188972333536
2014-02-06,Furniture,Tables,South,Home Office,5927.918701367951,7,0.0,2367.0640849822944
2014-02-07,Technology,Phones,East,Corporate,5769.699841344191,5,0.2,1169.0826875222936
2014-02-07,Furniture,Bookcases,West,Home Office,4999.040906163272,4,0.0,1405.6671230432717
2014-02-07,Technology,Accessories,Central,Home Office,8235.69822041547,8,0.0,1389.9834143651158
2014-02-07,Office Supplies,Binders,West,Consumer,725.0300427091356,2,0.0,202.66968543505246
2014-02-07,Furniture,Furnishings,West,Corporate,3789.7746665716945,5,0.15,1469.380674593031
2014-02-08,Furniture,Tables,South,Corporate,241.1124442222411,1,0.0,87.195222627278
2014-02-08,Office Supplies,Fasteners,West,Corporate,1492.475359454042,4,0.2,503.0020917826706
2014-02-08,Furniture,Tables,Central,Home Office,132.2316467026925,1,0.0,37.2912435690209
2014-02-08,Technology,Accessories,South,Consumer,5963.972701469638,8,0.15,2225.789557947636
2014-02-08,Technology,Accessories,Central,Consumer,1013.1835860971331,5,0.3,356.30569008830764
2014-02-09,Furniture,Chairs,Central,Home Office,5334.690661887277,9,0.1,862.4804713929545
2014-02-09,Furniture,Chairs,East,Corporate,10826.152597802604,9,0.0,2428.862224103418
2014-02-09,Technology,Accessories,East,Corporate,10403.162245171596,6,0.0,2123.1393597596298
2014-02-09,Technology,Machines,South,Consumer,1488.1274338140092,1,0.0,163.47675271101178
2014-02-09,Technology,Accessories,East,Corporate,10979.168715685808,6,0.0,2739.416029378774
2014-02-10,Furniture,Bookcases,South,Home Office,5041.866372034635,7,0.3,1198.4349803486193
2014-02-10,Technology,Phones,West,Home Office,6820.472816013561,6,0.0,2721.7934023110984
2014-02-10,Furniture,Bookcases,East,Consumer,803.0730144637396,1,0.0,176.02993845084956
2014-02-10,Technology,Machines,Central,Home Office,5646.325538602633,8,0.2,912.1181111702592
2014-02-11,Furniture,Furnishings,West,Home Office,6087.149785231992,8,0.0,1145.6831803137634
2014-02-11,Office Supplies,Art,South,Consumer,716.91860779193,2,0.0,166.4891652496434
2014-02-12,Office Supplies,Storage,Central,Corporate,2567.924100290062,7,0.15,466.5675586159883
2014-02-12,Office Supplies,Storage,East,Corporate,898.4561057206954,2,0.0,96.68816844557973
2014-02-13,Furniture,Furnishings,West,Corporate,3286.0882136490336,8,0.0,826.9518663960209
2014-02-13,Office Supplies,Fasteners,South,Consumer,2291.551723880568,9,0.15,351.89847082414127
2014-02-13,Furniture,Furnishings,West,Consumer,8110.756407940997,8,0.0,1402.768762708662
2014-02-13,Office Supplies,Paper,South,Consumer,2465.1504926261487,8,0.15,958.4376818211476
2014-02-14,Office Supplies,Labels,East,Corporate,1274.470221768322,3,0.0,288.57493431250316
2014-02-14,Furniture,Furnishings,South,Corporate,6748.7019775388235,5,0.0,1200.101629219185
2014-02-14,Office Supplies,Fasteners,Central,Home Office,1350.63419429958,7,0.0,471.6365334947795
2014-02-15,Furniture,Bookcases,East,Home Office,11714.929370227343,8,0.0,3159.902879692999
2014-02-15,Office Supplies,Storage,East,Home Office,2931.9030763799688,7,0.15,667.1957421994929
2014-02-15,Office Supplies,Storage,West,Consumer,145.100768566123,9,0.0,42.08552982661433
2014-02-15,Furniture,Furnishings,East,Corporate,2489.630901875009,6,0.1,563.929234259339
2014-02-15,Technology,Copiers,South,Home Office,615.8772233887885,2,0.0,64.9856419813674
2014-02-16,Technology,Machines,West,Home Office,2852.3428077075678,9,0.0,911.7667056553881
2014-02-16,Technology,Machines,West,Home Office,4850.323092856041,9,0.0,1319.2311977320317
2014-02-16,Technology,Machines,South,Home Office,8421.542890988383,5,0.0,2153.1806026786444
2014-02-16,Office Supplies,Fasteners,South,Corporate,152.54002918972216,6,0.1,19.04303628562289
2014-02-16,Furniture,Bookcases,East,Corporate,4013.7550513250094,5,0.15,927.811666042948
2014-02-17,Furniture,Chairs,East,Consumer,3109.0276748215115,4,0.0,462.01445650317805
2014-02-17,Technology,Phones,South,Home Office,1690.9828376045846,1,0.0,471.8735880401042
2014-02-17,Technology,Machines,Central,Consumer,1403.5511741861471,2,0.0,171.9930339529258
2014-02-17,Office Supplies,Envelopes,South,Consumer,2960.172817998348,9,0.1,827.326319921665
2014-02-17,Office Supplies,Appliances,East,Corporate,592.9829894827378,3,0.15,201.51030427357256
2014-02-17,Furniture,Bookcases,South,Home Office,6435.450355177184,6,0.0,1340.453913499435
2014-02-17,Furniture,Tables,Central,Consumer,228.2149026572878,1,0.0,87.87898782678874
2014-02-18,Technology,Machines,West,Corporate,7231.526489549692,9,0.2,808.6874581979181
2014-02-18,Office Supplies,Labels,East,Consumer,1735.8725809368025,7,0.3,463.03007959998564
2014-02-18,Office Supplies,Storage,Central,Consumer,1674.6730591518203,7,0.0,517.8525856546057
2014-02-18,Office Supplies,Storage,Central,Home Office,852.2514484367108,8,0.3,326.6508897608226
